JobID|JobName|State|Elapsed|ExitCode|Partition|QOS|AllocTRES
870103_0|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_0.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_0.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_1.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_2.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_3.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_4|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_4.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_4.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_5|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_5.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_5.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_6|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_6.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_6.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_7|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_7.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_7.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_8|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_8.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_8.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_9|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_9.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_9.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_10|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_10.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_10.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_11|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_11.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_11.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_12|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_12.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_12.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_13|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_13.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_13.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_14|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_14.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_14.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_15|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_15.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_15.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_16|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_16.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_16.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_17|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_17.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_17.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_18|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_18.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_18.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_19|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_19.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_19.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_20|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_20.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_20.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_21|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_21.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_21.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_22|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_22.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_22.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_23|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_23.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_23.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_24|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_24.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_24.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_25|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_25.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_25.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_26|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_26.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_26.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_27|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_27.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_27.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_28|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_28.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_28.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_29|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_29.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_29.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_30|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_30.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_30.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_31|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_31.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_31.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_32|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_32.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_32.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_33|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_33.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_33.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_34|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_34.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_34.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_35|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_35.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_35.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_36|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_36.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_36.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_37|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_37.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_37.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_38|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_38.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_38.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
